Frequency (Hz)	Level (dB)
0.672913	-3.983122
1.345825	-8.897668
2.018738	-10.989606
2.691650	-11.735270
3.364563	-14.364964
4.037476	-13.383525
4.710388	-14.155519
5.383301	-16.412018
6.056213	-16.795061
6.729126	-15.410867
7.402039	-15.624161
8.074951	-16.780542
8.747864	-18.791601
9.420776	-19.309877
10.093689	-18.451309
10.766602	-17.883186
11.439514	-18.307833
12.112427	-18.064800
12.785339	-18.453764
13.458252	-18.777803
14.131165	-20.056320
14.804077	-21.811676
15.476990	-23.952185
16.149902	-24.724436
16.822815	-27.807774
17.495728	-26.359392
18.168640	-28.693842
18.841553	-25.866749
19.514465	-25.725140
20.187378	-24.638784
20.860291	-24.092251
21.533203	-23.272116
22.206116	-21.971380
22.879028	-21.252884
23.551941	-20.982357
24.224854	-20.721565
24.897766	-21.557592
25.570679	-21.540384
26.243591	-21.110329
26.916504	-21.181822
27.589417	-21.832253
28.262329	-21.796976
28.935242	-21.966824
29.608154	-22.411814
30.281067	-23.236446
30.953979	-23.331072
31.626892	-23.977121
32.299805	-23.789518
32.972717	-23.980282
33.645630	-24.563812
34.318542	-24.770075
34.991455	-24.278206
35.664368	-24.569660
36.337280	-24.727543
37.010193	-24.531290
37.683105	-24.056168
38.356018	-23.936127
39.028931	-24.177816
39.701843	-24.133413
40.374756	-23.305006
41.047668	-23.124649
41.720581	-23.502518
42.393494	-23.532864
43.066406	-23.443201
43.739319	-23.837259
44.412231	-23.705143
45.085144	-23.902670
45.758057	-24.167480
46.430969	-24.119423
47.103882	-24.295876
47.776794	-24.689194
48.449707	-24.540491
49.122620	-24.807476
49.795532	-25.166210
50.468445	-25.585403
51.141357	-25.847271
51.814270	-26.262758
52.487183	-26.473391
53.160095	-26.614538
53.833008	-27.018749
54.505920	-27.028223
55.178833	-27.282164
55.851746	-27.386110
56.524658	-26.361065
57.197571	-26.275387
57.870483	-27.309069
58.543396	-27.580599
59.216309	-26.654610
59.889221	-26.897161
60.562134	-27.460634
61.235046	-27.214153
61.907959	-26.988411
62.580872	-26.884047
63.253784	-26.764795
63.926697	-26.641911
64.599609	-26.452484
65.272522	-26.073706
65.945435	-26.051390
66.618347	-26.012726
67.291260	-25.821072
67.964172	-25.794001
