Frequency (Hz)	Level (dB)
0.672913	-1.351333
1.345825	-5.778966
2.018738	-7.874899
2.691650	-8.594072
3.364563	-11.224355
4.037476	-10.227789
4.710388	-10.963533
5.383301	-13.317924
6.056213	-13.612419
6.729126	-12.341403
7.402039	-12.467761
8.074951	-13.538651
8.747864	-15.422862
9.420776	-16.163605
10.093689	-15.732180
10.766602	-14.743141
11.439514	-14.657082
12.112427	-14.574822
12.785339	-15.095281
13.458252	-15.825523
14.131165	-17.031525
14.804077	-18.764877
15.476990	-21.109829
16.149902	-21.100634
16.822815	-23.953136
17.495728	-24.288910
18.168640	-25.957729
18.841553	-24.125322
19.514465	-24.584600
20.187378	-24.148668
20.860291	-24.882404
21.533203	-24.917246
22.206116	-24.395422
22.879028	-25.250393
23.551941	-26.377815
24.224854	-24.444149
24.897766	-27.038870
25.570679	-27.256744
26.243591	-27.978500
26.916504	-26.004808
27.589417	-29.411192
28.262329	-25.990112
28.935242	-28.349230
29.608154	-27.189857
30.281067	-27.773712
30.953979	-27.231710
31.626892	-27.735189
32.299805	-26.242928
32.972717	-26.118517
33.645630	-26.866756
34.318542	-27.494085
34.991455	-26.253578
35.664368	-27.156693
36.337280	-27.279730
37.010193	-27.207272
37.683105	-26.536295
38.356018	-26.706831
39.028931	-27.604492
39.701843	-30.014137
40.374756	-27.921032
41.047668	-27.284613
41.720581	-29.434774
42.393494	-30.578176
43.066406	-27.562931
43.739319	-31.372328
44.412231	-28.493603
45.085144	-30.730028
45.758057	-31.065451
46.430969	-32.400898
47.103882	-29.271530
47.776794	-34.886253
48.449707	-29.627897
49.122620	-30.833931
49.795532	-30.942093
50.468445	-33.956734
51.141357	-31.456274
51.814270	-32.857948
52.487183	-31.153500
53.160095	-32.578484
53.833008	-31.499390
54.505920	-31.130714
55.178833	-30.925949
55.851746	-35.193974
56.524658	-32.898788
57.197571	-31.274864
57.870483	-30.853935
58.543396	-33.693127
59.216309	-32.479290
59.889221	-32.244064
60.562134	-33.374718
61.235046	-31.063133
61.907959	-31.994852
62.580872	-33.209225
63.253784	-32.528667
63.926697	-33.591774
64.599609	-35.152370
65.272522	-31.281782
65.945435	-32.525211
66.618347	-34.873310
67.291260	-33.094315
67.964172	-32.492603
68.637085	-32.959988
69.309998	-33.134140
69.982910	-34.838787
70.655823	-38.722530
71.328735	-31.981281
72.001648	-33.271412
72.674561	-36.276844
73.347473	-33.478737
74.020386	-33.431751
74.693298	-35.270344
75.366211	-33.677994
76.039124	-33.757961
76.712036	-37.284279
77.384949	-34.905514
78.057861	-33.852619
78.730774	-35.443344
79.403687	-34.610950
80.076599	-35.138454
80.749512	-40.189339
81.422424	-34.839024
82.095337	-31.738972
82.768250	-36.096233
83.441162	-36.989967
84.114075	-36.236507
84.786987	-36.795258
85.459900	-35.562141
86.132812	-35.164173
86.805725	-35.360500
87.478638	-35.522381
88.151550	-36.088802
88.824463	-38.578182
89.497375	-36.145222
90.170288	-33.172043
90.843201	-35.308281
91.516113	-37.259525
92.189026	-39.196930
92.861938	-35.264069
93.534851	-36.833683
94.207764	-39.371082
94.880676	-35.963604
95.553589	-34.606415
96.226501	-36.149021
96.899414	-40.498581
97.572327	-36.261276
98.245239	-35.965427
98.918152	-35.201588
99.591064	-35.904202
100.263977	-38.386871
100.936890	-38.346138
101.609802	-36.840668
102.282715	-37.288109
102.955627	-40.468456
103.628540	-36.598019
104.301453	-36.255684
104.974365	-37.363979
105.647278	-37.873070
106.320190	-35.678154
106.993103	-35.118587
107.666016	-40.485432
108.338928	-41.702690
109.011841	-39.928478
109.684753	-36.415859
110.357666	-35.183380
111.030579	-38.412209
111.703491	-43.703346
112.376404	-37.550423
113.049316	-38.297237
113.722229	-38.647701
114.395142	-37.544487
115.068054	-38.522854
115.740967	-35.331642
116.413879	-37.434105
117.086792	-38.895660
117.759705	-39.606480
118.432617	-43.361614
119.105530	-39.858955
119.778442	-36.774502
120.451355	-36.294697
121.124268	-41.103748
121.797180	-41.908272
122.470093	-41.627960
123.143005	-36.863911
123.815918	-36.208084
124.488831	-38.920784
125.161743	-37.922832
125.834656	-40.569393
126.507568	-39.487949
127.180481	-38.266129
127.853394	-40.337856
128.526306	-41.979580
129.199219	-39.662991
129.872131	-40.050961
130.545044	-36.708874
131.217957	-37.582138
131.890869	-41.594368
132.563782	-40.797523
133.236694	-38.509693
133.909607	-40.083241
134.582520	-39.149643
135.255432	-39.562843
135.928345	-40.329330
136.601257	-37.489689
137.274170	-38.183113
137.947083	-44.256016
138.619995	-41.302711
139.292908	-42.302036
139.965820	-38.487041
140.638733	-38.096249
141.311646	-42.067486
141.984558	-45.118290
142.657471	-39.286755
143.330383	-38.517540
144.003296	-36.889999
144.676208	-38.595406
145.349121	-43.757187
146.022034	-44.502525
146.694946	-41.570442
147.367859	-41.914986
148.040771	-39.484360
148.713684	-38.960644
149.386597	-40.542912
150.059509	-40.544598
150.732422	-40.822105
151.405334	-41.427475
152.078247	-41.747562
152.751160	-39.285492
153.424072	-38.265038
154.096985	-40.574581
154.769897	-40.466953
155.442810	-41.790825
156.115723	-43.791637
156.788635	-42.870808
157.461548	-40.082359
158.134460	-40.306717
158.807373	-40.965149
159.480286	-39.738693
160.153198	-39.981701
160.826111	-41.859589
161.499023	-41.407242
162.171936	-42.368488
162.844849	-44.199223
163.517761	-41.616573
164.190674	-39.527351
164.863586	-39.475677
165.536499	-40.314739
166.209412	-39.470699
166.882324	-44.512882
167.555237	-45.807255
168.228149	-42.670132
168.901062	-39.458607
169.573975	-40.770515
170.246887	-44.920307
170.919800	-43.372608
171.592712	-43.550087
172.265625	-39.715519
172.938538	-39.841908
173.611450	-41.437790
174.284363	-41.061020
174.957275	-41.512665
175.630188	-43.087513
176.303101	-43.893661
176.976013	-40.734695
177.648926	-39.808533
178.321838	-44.017715
178.994751	-47.633781
179.667664	-42.880020
180.340576	-40.462715
181.013489	-42.340092
181.686401	-41.503651
182.359314	-41.068409
183.032227	-42.610661
183.705139	-41.877014
184.378052	-43.921318
185.050964	-43.255554
185.723877	-41.561134
186.396790	-41.091686
187.069702	-40.509789
187.742615	-43.718060
188.415527	-41.919960
189.088440	-43.208687
189.761353	-43.779388
190.434265	-44.963921
191.107178	-46.656307
191.780090	-40.773865
192.453003	-39.133633
193.125916	-41.949760
193.798828	-45.463238
194.471741	-45.979099
195.144653	-45.169300
195.817566	-43.399418
196.490479	-43.488213
197.163391	-44.317997
197.836304	-38.499126
198.509216	-39.654922
199.182129	-45.471725
199.855042	-46.237320
200.527954	-45.156403
201.200867	-44.224998
201.873779	-44.996216
202.546692	-43.376179
203.219604	-43.535267
203.892517	-43.278782
204.565430	-42.175331
205.238342	-40.359001
205.911255	-43.888187
206.584167	-45.136421
207.257080	-44.766563
207.929993	-44.090439
208.602905	-42.015388
209.275818	-42.345585
209.948730	-41.727436
210.621643	-43.578453
211.294556	-43.811733
211.967468	-46.015369
212.640381	-42.064011
213.313293	-44.480804
213.986206	-43.175957
214.659119	-44.927197
215.332031	-44.430031
216.004944	-42.888641
216.677856	-45.409943
217.350769	-43.368885
218.023682	-43.087116
218.696594	-42.699780
219.369507	-44.446381
220.042419	-46.244843
220.715332	-42.387127
221.388245	-42.057533
222.061157	-44.423065
222.734070	-42.182598
223.406982	-43.324177
224.079895	-48.303185
224.752808	-45.894897
225.425720	-42.292007
226.098633	-45.101994
226.771545	-44.706249
227.444458	-43.131096
228.117371	-43.282024
228.790283	-44.547401
229.463196	-46.825558
230.136108	-44.967113
230.809021	-42.819450
231.481934	-47.409245
232.154846	-44.872280
232.827759	-44.863892
233.500671	-41.782051
234.173584	-42.458637
234.846497	-42.516872
235.519409	-43.059029
236.192322	-44.783897
236.865234	-45.381477
237.538147	-46.352673
238.211060	-50.402035
238.883972	-47.450676
239.556885	-46.950401
240.229797	-45.843021
240.902710	-41.398968
241.575623	-41.120617
242.248535	-45.688023
242.921448	-48.223763
243.594360	-45.158112
244.267273	-45.339108
244.940186	-48.312122
245.613098	-45.101765
246.286011	-43.615013
246.958923	-45.961632
247.631836	-43.375324
248.304749	-41.334232
248.977661	-42.194458
249.650574	-45.327679
250.323486	-47.329815
250.996399	-49.449230
251.669312	-49.376457
252.342224	-47.925735
253.015137	-44.205734
253.688049	-44.195210
254.360962	-44.834526
255.033875	-44.988426
255.706787	-44.912357
256.379700	-44.371372
257.052612	-45.400455
257.725525	-45.254230
258.398438	-46.700283
259.071350	-45.749893
259.744263	-44.012470
260.417175	-42.045761
261.090088	-46.281689
261.763000	-48.428562
262.435913	-43.921642
263.108826	-43.663212
263.781738	-46.407681
264.454651	-45.470539
265.127563	-48.674667
265.800476	-46.329922
266.473389	-45.216591
267.146301	-46.137566
267.819214	-46.313126
268.492126	-45.088058
269.165039	-47.315453
269.837952	-47.474598
270.510864	-44.072906
271.183777	-44.232792
271.856689	-46.636108
272.529602	-45.884457
273.202515	-43.349594
273.875427	-42.626629
274.548340	-44.991592
275.221252	-47.552376
275.894165	-48.662666
276.567078	-47.057411
277.239990	-46.313419
277.912903	-48.304352
278.585815	-44.742363
279.258728	-45.478832
279.931641	-45.489429
280.604553	-45.472408
281.277466	-45.491287
281.950378	-45.433796
282.623291	-47.648178
283.296204	-48.219032
283.969116	-45.798470
284.642029	-45.413807
285.314941	-52.394089
285.987854	-48.708714
286.660767	-48.240726
287.333679	-44.922680
288.006592	-41.065224
288.679504	-41.716881
289.352417	-48.935940
290.025330	-47.391308
290.698242	-53.191990
291.371155	-48.461525
292.044067	-46.538734
292.716980	-49.493763
293.389893	-46.717953
294.062805	-47.450237
294.735718	-52.211613
295.408630	-46.025314
296.081543	-43.867420
296.754456	-43.763382
297.427368	-46.729351
298.100281	-46.864521
298.773193	-47.028675
299.446106	-48.764099
300.119019	-47.668850
300.791931	-46.909775
301.464844	-45.961903
302.137756	-44.739491
302.810669	-45.326038
303.483582	-44.774117
304.156494	-45.197506
304.829407	-45.685398
305.502319	-47.608223
306.175232	-51.079094
306.848145	-47.294262
307.521057	-47.757568
308.193970	-48.517441
308.866882	-49.271095
309.539795	-45.280209
310.212708	-47.496159
310.885620	-47.154224
311.558533	-46.069561
312.231445	-46.035526
312.904358	-46.625343
313.577271	-47.119511
314.250183	-48.294292
314.923096	-45.728924
315.596008	-46.111073
316.268921	-47.365395
316.941833	-46.335297
317.614746	-47.102375
318.287659	-45.621998
318.960571	-48.030670
319.633484	-45.549908
320.306396	-45.173462
320.979309	-46.927269
321.652222	-48.557690
322.325134	-49.488556
322.998047	-47.199108
323.670959	-46.764805
324.343872	-49.007626
325.016785	-48.044876
325.689697	-47.792377
326.362610	-50.369205
327.035522	-49.144192
327.708435	-47.716148
328.381348	-48.620094
329.054260	-46.128185
329.727173	-44.012741
330.400085	-44.789955
331.072998	-46.844032
331.745911	-46.247913
332.418823	-45.635441
333.091736	-49.346043
333.764648	-47.171478
334.437561	-46.865940
335.110474	-51.697765
335.783386	-49.462727
336.456299	-50.778709
337.129211	-49.742786
337.802124	-50.464611
338.475037	-48.435471
339.147949	-44.639698
339.820862	-44.195171
340.493774	-46.945404
341.166687	-50.567062
341.839600	-48.367657
342.512512	-48.753502
343.185425	-48.467304
343.858337	-49.532417
344.531250	-49.775883
345.204163	-46.826859
345.877075	-46.138969
346.549988	-49.801727
347.222900	-47.112850
347.895813	-44.000591
348.568726	-46.467686
349.241638	-47.648582
349.914551	-48.202694
350.587463	-47.353374
351.260376	-49.714218
351.933289	-48.861809
352.606201	-48.937805
353.279114	-48.569939
353.952026	-48.874611
354.624939	-51.166561
355.297852	-48.326382
355.970764	-46.218460
356.643677	-47.063976
357.316589	-49.123772
357.989502	-46.584015
358.662415	-48.421711
359.335327	-49.959946
360.008240	-52.465206
360.681152	-50.038132
361.354065	-48.640324
362.026978	-45.753387
362.699890	-44.761227
363.372803	-47.595909
364.045715	-46.785213
364.718628	-46.616920
365.391541	-47.915359
366.064453	-49.477390
366.737366	-49.545193
367.410278	-47.561756
368.083191	-53.513554
368.756104	-49.072739
369.429016	-47.945789
370.101929	-51.113976
370.774841	-51.649242
371.447754	-51.425430
372.120667	-48.231003
372.793579	-49.886623
373.466492	-48.421638
374.139404	-43.514919
374.812317	-45.475250
375.485229	-53.808212
376.158142	-52.165672
376.831055	-50.854435
377.503967	-45.801262
378.176880	-46.405266
378.849792	-51.236336
379.522705	-47.918125
380.195618	-50.127831
380.868530	-48.537769
381.541443	-50.140102
382.214355	-49.657276
382.887268	-50.913841
383.560181	-49.404854
384.233093	-46.128220
384.906006	-46.663563
385.578918	-47.176094
386.251831	-49.721287
386.924744	-50.307804
387.597656	-47.904854
388.270569	-52.862217
388.943481	-51.550217
389.616394	-50.156410
390.289307	-48.330673
390.962219	-46.382729
391.635132	-50.114708
392.308044	-53.510799
392.980957	-50.313698
393.653870	-47.463779
394.326782	-50.416153
394.999695	-45.825199
395.672607	-45.327911
396.345520	-48.744709
397.018433	-48.633675
397.691345	-49.411926
398.364258	-49.005325
399.037170	-48.596275
399.710083	-49.891159
400.382996	-51.000614
401.055908	-50.516930
401.728821	-50.638069
402.401733	-50.624931
403.074646	-51.810570
403.747559	-48.897526
404.420471	-45.865162
405.093384	-48.758511
405.766296	-51.970573
406.439209	-52.167133
407.112122	-49.865334
407.785034	-48.872612
408.457947	-48.029255
409.130859	-47.182629
409.803772	-50.057522
410.476685	-48.331223
411.149597	-47.870819
411.822510	-48.366283
412.495422	-50.561356
413.168335	-47.681656
413.841248	-46.392166
414.514160	-51.283157
415.187073	-54.168182
415.859985	-49.322083
416.532898	-49.326111
417.205811	-52.156406
417.878723	-53.570930
418.551636	-53.284126
419.224548	-49.326992
419.897461	-48.704208
420.570374	-49.689915
421.243286	-47.092628
421.916199	-45.525795
422.589111	-50.276928
423.262024	-52.281368
423.934937	-55.634254
424.607849	-48.953850
425.280762	-47.854816
425.953674	-49.036678
426.626587	-49.889465
427.299500	-53.133823
427.972412	-49.924866
428.645325	-48.844612
429.318237	-49.401230
429.991150	-51.575138
430.664062	-50.097546
431.336975	-48.488380
432.009888	-45.971458
432.682800	-47.902710
433.355713	-49.689438
434.028625	-52.658993
434.701538	-51.676910
435.374451	-48.788845
436.047363	-49.725491
436.720276	-54.067158
437.393188	-51.153614
438.066101	-49.525467
438.739014	-49.517998
439.411926	-50.522655
440.084839	-50.617340
440.757751	-52.097843
441.430664	-51.566948
442.103577	-49.006668
442.776489	-53.455078
443.449402	-48.169209
444.122314	-45.904552
444.795227	-49.620953
445.468140	-49.887081
446.141052	-47.607170
446.813965	-50.313736
447.486877	-51.508774
448.159790	-49.266365
448.832703	-50.138889
449.505615	-51.689655
450.178528	-49.897594
450.851440	-49.349770
451.524353	-52.894547
452.197266	-53.229641
452.870178	-48.446766
453.543091	-48.458134
454.216003	-54.773979
454.888916	-52.022274
455.561829	-51.757427
456.234741	-51.037949
456.907654	-49.896267
457.580566	-48.319099
458.253479	-47.343365
458.926392	-49.801182
459.599304	-51.295593
460.272217	-51.379040
460.945129	-51.458668
461.618042	-48.869869
462.290955	-49.096050
462.963867	-54.642460
463.636780	-47.635387
464.309692	-51.027874
464.982605	-49.906837
465.655518	-49.365482
466.328430	-50.638741
467.001343	-52.528694
467.674255	-51.099552
468.347168	-50.483349
469.020081	-51.609985
469.692993	-51.361130
470.365906	-50.012840
471.038818	-48.038303
471.711731	-48.649601
472.384644	-50.726913
473.057556	-54.518047
473.730469	-51.929913
474.403381	-52.531555
475.076294	-48.367455
475.749207	-48.406925
476.422119	-50.839100
477.095032	-51.978508
477.767944	-52.496994
478.440857	-51.072212
479.113770	-52.225506
479.786682	-51.791759
480.459595	-53.395554
481.132507	-49.131950
481.805420	-49.754539
482.478333	-49.078735
483.151245	-46.991390
483.824158	-49.412361
484.497070	-48.618210
485.169983	-52.984810
485.842896	-51.426693
486.515808	-50.742275
487.188721	-54.040665
487.861633	-54.068436
488.534546	-50.838963
489.207458	-50.086018
489.880371	-51.300419
490.553284	-52.424858
491.226196	-51.948051
491.899109	-53.294556
492.572021	-52.200745
493.244934	-49.849968
493.917847	-52.597961
494.590759	-50.369637
495.263672	-46.631783
495.936584	-49.522877
496.609497	-52.442928
497.282410	-51.377300
497.955322	-51.571281
498.628235	-50.138783
499.301147	-51.537136
499.974060	-51.797020
500.646973	-49.340302
501.319885	-48.412949
501.992798	-52.085548
502.665710	-51.256180
503.338623	-51.873154
504.011536	-52.865364
504.684448	-49.015335
505.357361	-51.765888
506.030273	-58.564625
506.703186	-52.513981
507.376099	-50.620384
508.049011	-51.136482
508.721924	-52.042629
509.394836	-49.963360
510.067749	-48.835545
510.740662	-50.350174
511.413574	-54.530560
512.086487	-54.057835
512.759399	-52.426491
513.432312	-49.494946
514.105225	-48.404758
514.778137	-52.375309
515.451050	-53.462688
516.123962	-52.569309
516.796875	-53.535473
517.469788	-49.602570
518.142700	-48.013065
518.815613	-51.591770
519.488525	-52.588978
520.161438	-52.503540
520.834351	-50.718735
521.507263	-49.948032
522.180176	-54.048470
522.853088	-50.730305
523.526001	-49.565048
524.198914	-49.709843
524.871826	-51.073135
525.544739	-53.944851
526.217651	-52.574734
526.890564	-52.996349
527.563477	-52.858768
528.236389	-49.758026
528.909302	-49.898521
529.582214	-51.043011
530.255127	-54.363533
530.928040	-56.479557
531.600952	-53.530342
532.273865	-53.195915
532.946777	-51.075134
533.619690	-51.358833
534.292603	-50.267498
534.965515	-50.275059
535.638428	-51.453320
536.311340	-52.445076
536.984253	-47.284920
537.657166	-53.576534
538.330078	-52.641220
539.002991	-51.040188
539.675903	-49.033138
540.348816	-53.883556
541.021729	-53.404186
541.694641	-51.182575
542.367554	-50.137459
543.040466	-50.719822
543.713379	-51.816353
544.386292	-53.496166
545.059204	-53.013485
545.732117	-55.146713
546.405029	-55.697491
547.077942	-55.363117
547.750854	-53.577316
548.423767	-51.315132
549.096680	-48.779453
549.769592	-47.851120
550.442505	-52.181412
551.115417	-55.063007
551.788330	-54.415474
552.461243	-51.147221
553.134155	-51.489151
553.807068	-52.494213
554.479980	-51.931232
555.152893	-52.460358
555.825806	-50.860622
556.498718	-49.641720
557.171631	-52.471748
557.844543	-51.830719
558.517456	-55.299088
559.190369	-49.687687
559.863281	-50.269588
560.536194	-52.787086
561.209106	-51.857201
561.882019	-52.363922
562.554932	-53.534065
563.227844	-54.408722
563.900757	-51.361866
564.573669	-49.971531
565.246582	-50.660801
565.919495	-54.031708
566.592407	-58.507641
567.265320	-54.703423
567.938232	-52.098988
568.611145	-51.297741
569.284058	-49.767040
569.956970	-50.900246
570.629883	-51.862495
571.302795	-55.372417
571.975708	-54.374611
572.648621	-51.104210
573.321533	-49.744007
573.994446	-54.271389
574.667358	-56.553421
575.340271	-51.985264
576.013184	-53.550583
576.686096	-51.293316
577.359009	-49.322460
578.031921	-54.480812
578.704834	-49.540478
579.377747	-48.597408
580.050659	-55.050739
580.723572	-54.051472
581.396484	-53.422855
582.069397	-52.355015
582.742310	-53.038723
583.415222	-52.987835
584.088135	-52.134686
584.761047	-51.069920
585.433960	-53.216698
586.106873	-52.730507
586.779785	-53.062893
587.452698	-55.568344
588.125610	-55.260056
588.798523	-54.392078
589.471436	-52.183712
590.144348	-50.735554
590.817261	-50.926537
591.490173	-52.708019
592.163086	-55.568333
592.835999	-50.765274
593.508911	-50.409695
594.181824	-53.438248
594.854736	-53.823372
595.527649	-53.270054
596.200562	-50.185497
596.873474	-50.581612
597.546387	-50.662903
598.219299	-53.758430
598.892212	-51.616806
599.565125	-51.360886
600.238037	-52.124649
600.910950	-51.392593
601.583862	-53.841637
602.256775	-57.928207
602.929688	-57.503223
603.602600	-54.831181
604.275513	-53.045509
604.948425	-54.194454
605.621338	-51.144775
606.294250	-49.681057
606.967163	-51.047680
607.640076	-53.767803
608.312988	-56.555294
608.985901	-57.491146
609.658813	-52.680218
610.331726	-51.776947
611.004639	-52.467121
611.677551	-53.837456
612.350464	-53.610550
613.023376	-50.527863
613.696289	-51.369114
614.369202	-53.044640
615.042114	-54.226776
615.715027	-52.384144
616.387939	-51.899403
617.060852	-53.509361
617.733765	-53.132751
618.406677	-51.007072
619.079590	-50.121777
619.752502	-52.871361
620.425415	-52.321629
621.098328	-53.329155
