Frequency (Hz)	Level (dB)
43.066406	-15.212654
86.132812	-21.116062
129.199219	-23.332478
172.265625	-24.791309
215.332031	-25.734270
258.398438	-26.584742
301.464844	-27.515432
344.531250	-28.310986
387.597656	-28.794701
430.664062	-28.847740
473.730469	-29.295006
516.796875	-29.785118
559.863281	-29.735123
602.929688	-30.380907
645.996094	-30.880777
689.062500	-30.930643
732.128906	-31.240507
775.195312	-31.696548
818.261719	-31.877707
861.328125	-32.124680
904.394531	-32.245579
947.460938	-32.636265
990.527344	-32.784229
1033.593750	-32.992943
1076.660156	-33.216709
1119.726562	-33.395493
1162.792969	-33.345551
1205.859375	-33.642075
1248.925781	-33.773708
1291.992188	-33.855854
1335.058594	-34.145855
1378.125000	-34.606560
1421.191406	-34.716343
1464.257812	-34.643829
1507.324219	-34.693279
1550.390625	-34.987514
1593.457031	-35.226425
1636.523438	-35.422279
1679.589844	-35.105965
1722.656250	-34.934963
1765.722656	-35.464149
1808.789062	-35.755642
1851.855469	-35.727646
1894.921875	-35.776161
1937.988281	-36.125553
1981.054688	-36.274456
2024.121094	-36.089664
2067.187500	-35.939892
2110.253906	-36.605103
2153.320312	-36.869793
2196.386719	-36.873283
2239.453125	-36.901424
2282.519531	-37.151283
2325.585938	-37.062222
2368.652344	-37.265800
2411.718750	-37.311302
2454.785156	-37.395500
2497.851562	-37.596859
2540.917969	-37.617989
2583.984375	-37.626949
2627.050781	-37.776287
2670.117188	-37.563019
2713.183594	-37.572826
2756.250000	-37.899525
2799.316406	-37.776291
2842.382812	-37.912468
2885.449219	-38.275429
2928.515625	-38.161514
2971.582031	-38.242683
3014.648438	-38.563175
3057.714844	-38.450130
3100.781250	-38.501263
3143.847656	-38.490562
3186.914062	-38.836163
3229.980469	-38.981365
3273.046875	-38.881123
3316.113281	-38.950375
3359.179688	-38.884357
3402.246094	-39.265278
3445.312500	-39.480556
3488.378906	-39.001400
3531.445312	-39.037582
3574.511719	-39.186169
3617.578125	-39.092934
3660.644531	-39.340641
3703.710938	-39.357048
3746.777344	-39.507721
3789.843750	-39.630535
