Frequency (Hz)	Level (dB)
43.066406	-7.558473
86.132812	-9.209304
129.199219	-11.216170
172.265625	-12.546567
215.332031	-13.551192
258.398438	-14.361776
301.464844	-15.042383
344.531250	-15.629444
387.597656	-16.145855
430.664062	-16.606890
473.730469	-17.023380
516.796875	-17.403202
559.863281	-17.752335
602.929688	-18.075373
645.996094	-18.375967
689.062500	-18.657040
732.128906	-18.920977
775.195312	-19.169764
818.261719	-19.405031
861.328125	-19.628189
904.394531	-19.840422
947.460938	-20.042746
990.527344	-20.236055
1033.593750	-20.421116
1076.660156	-20.598598
1119.726562	-20.769108
1162.792969	-20.933167
1205.859375	-21.091253
1248.925781	-21.243773
1291.992188	-21.391121
1335.058594	-21.533628
1378.125000	-21.671606
1421.191406	-21.805328
1464.257812	-21.935055
1507.324219	-22.061018
1550.390625	-22.183428
1593.457031	-22.302479
1636.523438	-22.418350
1679.589844	-22.531216
1722.656250	-22.641216
1765.722656	-22.748495
1808.789062	-22.853193
1851.855469	-22.955421
1894.921875	-23.055304
1937.988281	-23.152935
1981.054688	-23.248419
2024.121094	-23.341845
2067.187500	-23.433308
2110.253906	-23.522877
2153.320312	-23.610643
2196.386719	-23.696667
2239.453125	-23.781017
2282.519531	-23.863760
2325.585938	-23.944962
2368.652344	-24.024672
2411.718750	-24.102942
2454.785156	-24.179823
2497.851562	-24.255371
2540.917969	-24.329624
2583.984375	-24.402634
2627.050781	-24.474430
2670.117188	-24.545063
2713.183594	-24.614567
2756.250000	-24.682968
2799.316406	-24.750309
2842.382812	-24.816633
2885.449219	-24.881948
2928.515625	-24.946293
2971.582031	-25.009705
3014.648438	-25.072205
3057.714844	-25.133820
3100.781250	-25.194571
3143.847656	-25.254478
3186.914062	-25.313572
3229.980469	-25.371878
3273.046875	-25.429409
3316.113281	-25.486189
3359.179688	-25.542233
3402.246094	-25.597567
3445.312500	-25.652195
3488.378906	-25.706150
3531.445312	-25.759441
3574.511719	-25.812092
3617.578125	-25.864113
3660.644531	-25.915516
3703.710938	-25.966314
3746.777344	-26.016527
3789.843750	-26.066168
3832.910156	-26.115244
3875.976562	-26.163773
3919.042969	-26.211765
3962.109375	-26.259230
4005.175781	-26.306183
4048.242188	-26.352634
4091.308594	-26.398602
4134.375000	-26.444082
4177.441406	-26.489088
4220.507812	-26.533634
4263.574219	-26.577732
4306.640625	-26.621380
4349.707031	-26.664597
4392.773438	-26.707384
4435.839844	-26.749758
4478.906250	-26.791718
4521.972656	-26.833286
4565.039062	-26.874458
4608.105469	-26.915239
4651.171875	-26.955635
4694.238281	-26.995663
4737.304688	-27.035332
4780.371094	-27.074631
4823.437500	-27.113585
4866.503906	-27.152193
4909.570312	-27.190458
4952.636719	-27.228388
4995.703125	-27.265991
5038.769531	-27.303280
5081.835938	-27.340242
5124.902344	-27.376890
5167.968750	-27.413235
5211.035156	-27.449280
5254.101562	-27.485023
5297.167969	-27.520479
5340.234375	-27.555647
5383.300781	-27.590527
5426.367188	-27.625134
5469.433594	-27.659456
5512.500000	-27.693502
5555.566406	-27.727283
5598.632812	-27.760817
5641.699219	-27.794104
5684.765625	-27.827179
5727.832031	-27.860058
5770.898438	-27.892731
5813.964844	-27.925125
5857.031250	-27.957146
5900.097656	-27.988693
5943.164062	-28.019773
5986.230469	-28.050600
