Frequency (Hz)	Level (dB)
0.672913	-96.317612
1.345825	-140.661194
2.018738	-141.536850
2.691650	-143.654129
3.364563	-142.816498
4.037476	-143.275742
4.710388	-143.174820
5.383301	-140.904099
6.056213	-141.171707
6.729126	-142.488770
7.402039	-144.727402
8.074951	-145.436066
8.747864	-141.789719
9.420776	-144.109406
10.093689	-144.360474
10.766602	-143.248840
11.439514	-142.729874
12.112427	-143.288132
12.785339	-142.285233
13.458252	-141.246902
14.131165	-142.725769
14.804077	-146.636215
15.476990	-142.761810
16.149902	-141.698212
16.822815	-140.928253
17.495728	-141.172287
18.168640	-141.521301
18.841553	-141.915146
19.514465	-142.777802
20.187378	-141.512589
20.860291	-141.269226
21.533203	-143.191101
22.206116	-141.746765
22.879028	-137.980484
23.551941	-137.464874
24.224854	-133.367935
24.897766	-128.544525
25.570679	-127.085625
26.243591	-123.044327
26.916504	-119.476685
27.589417	-116.196167
28.262329	-112.529892
28.935242	-109.649773
29.608154	-107.149956
30.281067	-105.084694
30.953979	-103.249649
31.626892	-101.559769
32.299805	-100.176094
32.972717	-98.962296
33.645630	-97.984009
34.318542	-97.075974
34.991455	-96.242775
35.664368	-95.506058
36.337280	-94.894730
37.010193	-94.413071
37.683105	-93.960480
38.356018	-93.544846
39.028931	-93.173103
39.701843	-92.896545
40.374756	-92.708191
41.047668	-92.559258
41.720581	-92.426895
42.393494	-92.310074
43.066406	-92.242310
43.739319	-92.250877
44.412231	-92.326477
45.085144	-92.407585
45.758057	-92.491783
46.430969	-92.603485
47.103882	-92.747818
47.776794	-92.927498
48.449707	-93.132332
49.122620	-93.354439
49.795532	-93.529907
50.468445	-93.697838
51.141357	-93.877525
51.814270	-94.021378
52.487183	-94.139984
53.160095	-94.225433
53.833008	-94.268814
54.505920	-94.235657
55.178833	-94.171143
55.851746	-94.053719
56.524658	-93.876572
57.197571	-93.705635
57.870483	-93.506119
58.543396	-93.275574
59.216309	-93.001839
59.889221	-92.727119
60.562134	-92.465706
61.235046	-92.229156
61.907959	-92.005013
62.580872	-91.762405
63.253784	-91.515198
63.926697	-91.291641
64.599609	-91.110458
65.272522	-90.948029
65.945435	-90.786850
66.618347	-90.631775
67.291260	-90.491287
67.964172	-90.372398
68.637085	-90.283806
69.309998	-90.214844
69.982910	-90.151253
70.655823	-90.098770
