Frequency (Hz)	Level (dB)
0.672913	-18.902052
1.345825	-22.073248
2.018738	-23.444147
2.691650	-25.484531
3.364563	-27.800020
4.037476	-27.222355
4.710388	-28.500990
5.383301	-27.040930
6.056213	-28.111361
6.729126	-29.520550
7.402039	-30.726519
8.074951	-29.854845
8.747864	-28.673464
9.420776	-32.246941
10.093689	-31.650124
10.766602	-30.819084
11.439514	-30.674541
12.112427	-28.881626
12.785339	-30.976599
13.458252	-30.432837
14.131165	-31.428976
14.804077	-32.522442
15.476990	-31.676483
16.149902	-32.081329
16.822815	-32.513302
17.495728	-34.161728
18.168640	-34.046730
18.841553	-32.788643
19.514465	-34.044888
20.187378	-35.411678
20.860291	-35.987789
21.533203	-33.417797
22.206116	-34.097813
22.879028	-34.450935
23.551941	-33.257519
24.224854	-35.034794
24.897766	-35.917355
25.570679	-34.703701
26.243591	-34.861053
26.916504	-34.960651
27.589417	-34.415287
28.262329	-35.234417
28.935242	-37.645828
29.608154	-37.867161
30.281067	-36.496098
30.953979	-34.067635
31.626892	-34.090599
32.299805	-35.622589
32.972717	-35.366650
33.645630	-35.062920
34.318542	-34.631638
34.991455	-35.445202
35.664368	-35.604111
36.337280	-34.592045
37.010193	-34.605751
37.683105	-33.636208
38.356018	-32.677959
39.028931	-33.713036
39.701843	-35.341778
40.374756	-35.053082
41.047668	-34.446510
41.720581	-37.229404
42.393494	-37.454777
43.066406	-35.599415
43.739319	-35.661896
44.412231	-35.942440
45.085144	-37.933910
45.758057	-37.899277
46.430969	-38.851936
47.103882	-37.002701
47.776794	-37.484398
48.449707	-37.989841
49.122620	-37.361534
49.795532	-35.984211
50.468445	-36.743427
51.141357	-38.907589
51.814270	-39.203480
52.487183	-36.675102
53.160095	-34.656826
53.833008	-36.350929
54.505920	-39.371407
55.178833	-42.816441
55.851746	-40.503696
56.524658	-38.608513
57.197571	-37.989506
57.870483	-38.429436
58.543396	-39.430435
59.216309	-38.197414
59.889221	-37.955769
60.562134	-39.366890
61.235046	-37.867069
61.907959	-37.905453
62.580872	-38.034378
63.253784	-40.019146
63.926697	-39.339329
64.599609	-39.217987
65.272522	-37.124096
65.945435	-36.829689
66.618347	-37.971581
67.291260	-38.243309
67.964172	-37.874550
68.637085	-38.607674
69.309998	-39.068043
69.982910	-39.666508
70.655823	-41.029087
71.328735	-41.203045
72.001648	-39.627373
72.674561	-39.535412
73.347473	-40.120686
74.020386	-40.548443
74.693298	-38.222565
75.366211	-37.208820
76.039124	-39.593517
76.712036	-42.218143
77.384949	-38.437820
78.057861	-38.884750
78.730774	-41.375156
79.403687	-41.254559
80.076599	-40.515194
80.749512	-39.855431
81.422424	-39.144825
82.095337	-39.015839
82.768250	-39.686741
83.441162	-40.039867
84.114075	-39.663033
84.786987	-40.747997
85.459900	-41.314384
86.132812	-39.765194
86.805725	-40.260941
87.478638	-41.102131
88.151550	-40.408146
88.824463	-40.436077
89.497375	-39.174610
90.170288	-37.589874
90.843201	-37.730606
91.516113	-38.637928
92.189026	-41.220650
92.861938	-41.980244
93.534851	-40.557617
94.207764	-38.575275
94.880676	-39.659889
95.553589	-39.830044
96.226501	-39.739632
96.899414	-41.929359
97.572327	-41.676319
98.245239	-39.863941
98.918152	-40.546799
99.591064	-39.618557
100.263977	-39.796757
100.936890	-41.259666
101.609802	-41.620815
102.282715	-43.021732
102.955627	-44.573929
103.628540	-43.319565
104.301453	-41.263866
104.974365	-40.481995
105.647278	-41.731377
106.320190	-40.873810
106.993103	-40.873775
107.666016	-41.413101
108.338928	-41.392902
109.011841	-41.121552
109.684753	-41.472855
110.357666	-41.834774
111.030579	-41.781487
111.703491	-41.040405
112.376404	-41.200985
113.049316	-42.495220
113.722229	-39.530460
114.395142	-39.089451
115.068054	-39.624958
115.740967	-42.237167
116.413879	-42.796333
117.086792	-39.952503
117.759705	-38.620682
118.432617	-38.385292
119.105530	-40.725273
119.778442	-42.320797
120.451355	-41.267761
121.124268	-41.874100
121.797180	-40.648781
122.470093	-42.745739
123.143005	-44.280655
123.815918	-41.811169
124.488831	-41.971447
125.161743	-41.810768
125.834656	-41.526554
126.507568	-44.183441
127.180481	-41.948513
127.853394	-42.366928
128.526306	-41.892765
129.199219	-40.752274
129.872131	-43.783302
130.545044	-42.009007
131.217957	-39.603176
131.890869	-40.640518
132.563782	-41.373142
133.236694	-41.438332
133.909607	-43.749992
134.582520	-41.909451
135.255432	-42.263958
135.928345	-42.469696
136.601257	-41.693439
137.274170	-40.896362
137.947083	-41.638676
138.619995	-43.283005
139.292908	-42.812374
139.965820	-40.679386
140.638733	-40.194164
141.311646	-40.400925
141.984558	-40.062336
142.657471	-40.659805
143.330383	-39.651142
144.003296	-41.135067
144.676208	-42.352024
145.349121	-41.381287
146.022034	-40.605217
146.694946	-42.175896
147.367859	-41.479858
148.040771	-41.167858
148.713684	-40.059258
149.386597	-39.912495
150.059509	-40.298374
150.732422	-42.854607
151.405334	-45.613941
152.078247	-42.354935
152.751160	-44.006935
153.424072	-44.532234
154.096985	-40.465588
154.769897	-40.587662
155.442810	-41.608948
156.115723	-41.223316
156.788635	-41.909977
157.461548	-41.915707
158.134460	-41.971146
158.807373	-43.661060
159.480286	-41.662064
160.153198	-40.614635
160.826111	-42.593906
161.499023	-44.407566
162.171936	-43.092903
162.844849	-42.049953
163.517761	-40.459789
164.190674	-41.758484
164.863586	-40.457424
165.536499	-40.751942
166.209412	-41.190868
166.882324	-42.711742
167.555237	-43.355904
168.228149	-44.125046
168.901062	-43.772823
169.573975	-41.900391
170.246887	-42.995956
170.919800	-42.574421
171.592712	-42.851154
172.265625	-44.058502
172.938538	-41.786396
173.611450	-41.537445
174.284363	-41.373287
174.957275	-41.621075
175.630188	-44.032021
176.303101	-42.043530
176.976013	-41.540531
177.648926	-40.972725
178.321838	-43.524364
178.994751	-44.241138
179.667664	-43.230198
180.340576	-42.266590
181.013489	-43.120552
181.686401	-42.578716
182.359314	-41.757519
183.032227	-43.276863
183.705139	-44.239571
184.378052	-42.987045
185.050964	-44.368332
185.723877	-44.639462
186.396790	-43.687569
187.069702	-43.776543
187.742615	-42.435402
188.415527	-42.867565
189.088440	-44.608597
189.761353	-42.332241
190.434265	-42.225014
191.107178	-42.394955
191.780090	-42.884296
192.453003	-43.876869
193.125916	-43.369595
193.798828	-44.403645
194.471741	-44.039886
195.144653	-45.230209
195.817566	-44.549320
196.490479	-46.795582
197.163391	-44.171936
197.836304	-44.051460
198.509216	-43.864998
199.182129	-41.895840
199.855042	-42.232788
200.527954	-44.061344
201.200867	-45.297882
201.873779	-44.661171
202.546692	-41.806114
203.219604	-41.669952
203.892517	-41.820278
204.565430	-41.204067
205.238342	-43.396858
205.911255	-44.671124
206.584167	-43.294071
207.257080	-42.274841
207.929993	-42.816048
208.602905	-43.104366
209.275818	-44.591980
209.948730	-45.181210
210.621643	-46.626743
211.294556	-46.740555
211.967468	-45.482864
212.640381	-44.005852
213.313293	-44.050575
213.986206	-44.750584
214.659119	-45.926666
215.332031	-43.252663
216.004944	-43.018993
216.677856	-44.255913
217.350769	-43.268536
218.023682	-42.850536
218.696594	-43.440750
219.369507	-43.562637
220.042419	-43.645370
220.715332	-43.036221
221.388245	-41.548622
222.061157	-43.193993
222.734070	-44.859055
223.406982	-44.074017
224.079895	-46.004211
224.752808	-45.925312
225.425720	-45.815575
226.098633	-43.797237
226.771545	-43.384510
227.444458	-45.323925
228.117371	-43.431412
228.790283	-42.131603
229.463196	-41.912544
230.136108	-45.669296
230.809021	-45.377010
231.481934	-42.371796
232.154846	-43.069984
232.827759	-44.278000
233.500671	-45.251293
234.173584	-46.217331
234.846497	-45.694641
235.519409	-47.007351
236.192322	-44.104069
236.865234	-43.078091
237.538147	-42.850227
238.211060	-42.271267
238.883972	-42.877480
239.556885	-44.598339
240.229797	-44.902134
240.902710	-44.454655
241.575623	-41.815228
242.248535	-42.404102
242.921448	-43.467182
243.594360	-43.412331
244.267273	-45.509079
244.940186	-45.516636
245.613098	-45.530499
246.286011	-44.977852
246.958923	-43.479694
247.631836	-43.183594
248.304749	-42.645088
248.977661	-45.010185
249.650574	-46.941162
250.323486	-46.845303
250.996399	-45.734360
251.669312	-45.529697
252.342224	-45.278065
253.015137	-48.696987
253.688049	-45.398712
254.360962	-46.494492
255.033875	-47.611633
255.706787	-43.887295
256.379700	-42.256355
257.052612	-42.592739
257.725525	-45.029057
258.398438	-45.363728
259.071350	-44.863449
259.744263	-44.062370
260.417175	-44.341568
261.090088	-43.315975
261.763000	-44.544605
262.435913	-47.423046
263.108826	-47.049175
263.781738	-43.190315
264.454651	-43.404987
265.127563	-46.280552
