Frequency (Hz)	Level (dB)
0.672913	-96.587883
1.345825	-109.009995
2.018738	-108.635674
2.691650	-108.277031
3.364563	-107.754944
4.037476	-107.118576
4.710388	-106.361900
5.383301	-105.545944
6.056213	-104.595390
6.729126	-103.493187
7.402039	-102.398743
8.074951	-101.094727
8.747864	-99.732262
9.420776	-98.246391
10.093689	-96.617348
10.766602	-94.904099
11.439514	-93.015961
12.112427	-90.968346
12.785339	-88.770157
13.458252	-86.370537
14.131165	-83.768112
14.804077	-80.935730
15.476990	-77.860085
16.149902	-74.538506
16.822815	-70.971611
17.495728	-67.178474
18.168640	-63.200302
18.841553	-59.090721
19.514465	-54.918568
20.187378	-50.762112
20.860291	-46.705173
21.533203	-42.833344
22.206116	-39.230946
22.879028	-35.976883
23.551941	-33.137867
24.224854	-30.756401
24.897766	-28.832201
25.570679	-27.305603
26.243591	-26.071316
26.916504	-25.041821
27.589417	-24.193693
28.262329	-23.517036
28.935242	-22.972797
29.608154	-22.543388
30.281067	-22.225977
30.953979	-21.998144
31.626892	-21.857977
32.299805	-21.795509
32.972717	-21.804192
33.645630	-21.880787
34.318542	-22.018465
34.991455	-22.215128
35.664368	-22.465059
36.337280	-22.763195
37.010193	-23.103802
37.683105	-23.474678
38.356018	-23.867493
39.028931	-24.265362
39.701843	-24.655607
40.374756	-25.026274
41.047668	-25.357635
41.720581	-25.631598
42.393494	-25.833427
43.066406	-25.954588
43.739319	-25.997562
44.412231	-25.967997
45.085144	-25.873199
45.758057	-25.729376
46.430969	-25.553169
47.103882	-25.355278
47.776794	-25.150717
48.449707	-24.951920
49.122620	-24.761934
49.795532	-24.587790
50.468445	-24.433872
51.141357	-24.300938
51.814270	-24.193541
52.487183	-24.110701
53.160095	-24.053982
53.833008	-24.022787
54.505920	-24.016399
55.178833	-24.034658
55.851746	-24.076056
56.524658	-24.140543
57.197571	-24.226566
57.870483	-24.333920
58.543396	-24.461218
59.216309	-24.607780
59.889221	-24.772301
60.562134	-24.953238
61.235046	-25.149187
61.907959	-25.357672
62.580872	-25.577124
63.253784	-25.804829
63.926697	-26.038996
64.599609	-26.277342
65.272522	-26.516798
65.945435	-26.754364
66.618347	-26.985397
67.291260	-27.205664
67.964172	-27.412350
68.637085	-27.602150
69.309998	-27.771677
69.982910	-27.917482
70.655823	-28.035984
71.328735	-28.125866
72.001648	-28.187969
72.674561	-28.221937
73.347473	-28.227016
74.020386	-28.205660
74.693298	-28.161898
75.366211	-28.097786
76.039124	-28.015587
76.712036	-27.919607
77.384949	-27.812979
78.057861	-27.697994
78.730774	-27.578707
79.403687	-27.457596
80.076599	-27.335524
80.749512	-27.215254
81.422424	-27.098486
82.095337	-26.986002
82.768250	-26.879969
83.441162	-26.780651
84.114075	-26.688625
84.786987	-26.604881
85.459900	-26.529003
86.132812	-26.461981
86.805725	-26.403654
87.478638	-26.354301
88.151550	-26.314234
88.824463	-26.283104
89.497375	-26.261391
90.170288	-26.248486
90.843201	-26.244785
91.516113	-26.249668
92.189026	-26.263382
92.861938	-26.285391
93.534851	-26.315849
94.207764	-26.354277
94.880676	-26.400789
95.553589	-26.454910
96.226501	-26.516754
96.899414	-26.585821
97.572327	-26.662216
98.245239	-26.745388
98.918152	-26.835375
99.591064	-26.931606
100.263977	-27.033976
100.936890	-27.142004
101.609802	-27.255329
102.282715	-27.373690
102.955627	-27.496536
103.628540	-27.623785
104.301453	-27.754847
104.974365	-27.889427
105.647278	-28.027071
106.320190	-28.166990
106.993103	-28.308741
107.666016	-28.451466
108.338928	-28.594534
109.011841	-28.737585
109.684753	-28.879826
110.357666	-29.020641
111.030579	-29.159201
111.703491	-29.294275
112.376404	-29.425184
113.049316	-29.551386
113.722229	-29.672077
114.395142	-29.786488
115.068054	-29.893740
115.740967	-29.992807
116.413879	-30.083244
117.086792	-30.164959
117.759705	-30.237274
118.432617	-30.299284
119.105530	-30.350895
119.778442	-30.392494
120.451355	-30.423878
121.124268	-30.444668
121.797180	-30.455193
122.470093	-30.456270
123.143005	-30.448156
123.815918	-30.430834
124.488831	-30.405100
125.161743	-30.372091
125.834656	-30.332144
126.507568	-30.285570
127.180481	-30.233414
127.853394	-30.176592
128.526306	-30.115492
129.199219	-30.050900
129.872131	-29.983585
130.545044	-29.913820
131.217957	-29.842356
131.890869	-29.770071
132.563782	-29.697136
133.236694	-29.624033
133.909607	-29.551363
134.582520	-29.479193
135.255432	-29.408070
135.928345	-29.338484
136.601257	-29.270454
137.274170	-29.204453
137.947083	-29.140600
138.619995	-29.078922
139.292908	-29.019821
139.965820	-28.963240
140.638733	-28.909424
141.311646	-28.858564
141.984558	-28.810596
142.657471	-28.765814
143.330383	-28.724073
144.003296	-28.685513
144.676208	-28.650156
145.349121	-28.617931
146.022034	-28.589018
146.694946	-28.563251
147.367859	-28.540804
148.040771	-28.521544
148.713684	-28.505589
149.386597	-28.492876
150.059509	-28.483406
150.732422	-28.477192
151.405334	-28.474144
152.078247	-28.474323
152.751160	-28.477594
153.424072	-28.484039
154.096985	-28.493500
154.769897	-28.506056
155.442810	-28.521553
156.115723	-28.540073
156.788635	-28.561466
157.461548	-28.585800
158.134460	-28.612923
158.807373	-28.642908
159.480286	-28.675610
160.153198	-28.711084
160.826111	-28.749207
161.499023	-28.790007
162.171936	-28.833372
162.844849	-28.879295
163.517761	-28.927706
164.190674	-28.978525
164.863586	-29.031727
165.536499	-29.087183
166.209412	-29.144920
166.882324	-29.204777
167.555237	-29.266769
168.228149	-29.330767
168.901062	-29.396755
169.573975	-29.464670
170.246887	-29.534405
170.919800	-29.605968
171.592712	-29.679180
172.265625	-29.754025
172.938538	-29.830359
173.611450	-29.908054
174.284363	-29.987066
174.957275	-30.067215
175.630188	-30.148485
176.303101	-30.230770
176.976013	-30.313934
177.648926	-30.397940
178.321838	-30.482573
178.994751	-30.567688
179.667664	-30.653151
180.340576	-30.738779
181.013489	-30.824533
181.686401	-30.910290
182.359314	-30.995840
183.032227	-31.081083
183.705139	-31.165773
184.378052	-31.249685
185.050964	-31.332752
185.723877	-31.414833
186.396790	-31.495726
187.069702	-31.575306
187.742615	-31.653316
188.415527	-31.729486
189.088440	-31.803793
189.761353	-31.876101
190.434265	-31.946177
191.107178	-32.013859
191.780090	-32.078918
192.453003	-32.141197
193.125916	-32.200699
193.798828	-32.257248
194.471741	-32.310631
195.144653	-32.360653
195.817566	-32.407349
196.490479	-32.450691
197.163391	-32.490459
197.836304	-32.526569
198.509216	-32.559010
199.182129	-32.587811
199.855042	-32.612900
200.527954	-32.634239
201.200867	-32.651836
201.873779	-32.665787
202.546692	-32.676098
203.219604	-32.682770
203.892517	-32.685898
204.565430	-32.685616
205.238342	-32.681992
205.911255	-32.675034
206.584167	-32.664967
207.257080	-32.651939
207.929993	-32.635983
208.602905	-32.617188
209.275818	-32.595825
209.948730	-32.572083
210.621643	-32.545963
211.294556	-32.517597
211.967468	-32.487270
212.640381	-32.455128
213.313293	-32.421204
213.986206	-32.385746
214.659119	-32.348888
215.332031	-32.310677
216.004944	-32.271400
216.677856	-32.231178
217.350769	-32.190048
218.023682	-32.148190
218.696594	-32.105747
219.369507	-32.062786
220.042419	-32.019482
220.715332	-31.975967
221.388245	-31.932238
222.061157	-31.888464
222.734070	-31.844761
223.406982	-31.801128
224.079895	-31.757746
224.752808	-31.714701
225.425720	-31.671991
226.098633	-31.629736
226.771545	-31.587976
227.444458	-31.546726
228.117371	-31.506138
228.790283	-31.466219
229.463196	-31.427036
230.136108	-31.388660
230.809021	-31.351072
231.481934	-31.314329
232.154846	-31.278454
232.827759	-31.243465
233.500671	-31.209478
234.173584	-31.176455
234.846497	-31.144426
235.519409	-31.113461
236.192322	-31.083523
236.865234	-31.054667
237.538147	-31.026861
238.211060	-31.000166
238.883972	-30.974575
239.556885	-30.950079
240.229797	-30.926737
240.902710	-30.904507
241.575623	-30.883457
242.248535	-30.863544
242.921448	-30.844791
243.594360	-30.827230
244.267273	-30.810822
244.940186	-30.795593
245.613098	-30.781496
246.286011	-30.768593
246.958923	-30.756845
247.631836	-30.746264
248.304749	-30.736841
248.977661	-30.728569
249.650574	-30.721472
250.323486	-30.715523
250.996399	-30.710739
251.669312	-30.707088
252.342224	-30.704611
253.015137	-30.703255
253.688049	-30.703054
254.360962	-30.703964
255.033875	-30.706017
255.706787	-30.709177
256.379700	-30.713461
257.052612	-30.718832
257.725525	-30.725309
258.398438	-30.732868
259.071350	-30.741516
259.744263	-30.751217
260.417175	-30.761997
261.090088	-30.773834
261.763000	-30.786713
262.435913	-30.800621
263.108826	-30.815575
263.781738	-30.831532
264.454651	-30.848507
265.127563	-30.866480
265.800476	-30.885466
266.473389	-30.905426
267.146301	-30.926378
267.819214	-30.948290
268.492126	-30.971169
269.165039	-30.994972
269.837952	-31.019724
270.510864	-31.045397
271.183777	-31.072001
271.856689	-31.099489
272.529602	-31.127867
273.202515	-31.157129
273.875427	-31.187262
274.548340	-31.218237
275.221252	-31.250034
275.894165	-31.282675
276.567078	-31.316113
277.239990	-31.350368
277.912903	-31.385416
278.585815	-31.421246
279.258728	-31.457842
279.931641	-31.495193
280.604553	-31.533302
281.277466	-31.572107
281.950378	-31.611622
282.623291	-31.651829
283.296204	-31.692707
283.969116	-31.734234
284.642029	-31.776388
285.314941	-31.819166
